# Capture histories exported from 'hornedlizardCH' 
# Sun Dec 01 8:12:46 a.m. 2019 
# Session ID Occasion x y 
1 38 2 482.7 473.04
1 44 2 456.46 455.95
1 35 3 485.81 346.49
1 37 3 458.31 489.86
1 48 3 439.03 495.43
1 49 3 395.46 385.62
1 53 3 469.75 427.91
1 57 3 409.07 394.25
1 58 3 548.34 414.05
1 7 4 473.55 544.56
1 42 4 549.62 588.2
1 43 4 567.37 585.4
1 48 4 455.8 492.44
1 53 4 473.63 439.82
1 64 4 521.29 450.72
1 8 5 370.19 396.18
1 25 5 434.18 455.88
1 36 5 422.81 522.92
1 44 5 408.84 433.88
1 52 5 511.77 524.21
1 53 5 438.43 438.36
1 58 5 546.63 417.8
1 59 5 355.16 411.69
1 64 5 462.46 423.51
1 66 5 470.54 484
1 67 5 487.1 465.72
1 34 6 398.3 545.82
1 39 6 576.34 542.32
1 40 6 565.44 573.85
1 43 6 557.9 565.33
1 50 6 555.67 407.28
1 52 6 530.14 523.56
1 61 6 599.96 332.12
1 65 6 355.36 300.87
1 67 6 524.15 473.63
1 26 7 401.77 389.85
1 36 7 413.81 494.81
1 44 7 436.62 393.28
1 48 7 416.39 497.32
1 53 7 439.26 428.35
1 54 7 527.28 445.73
1 60 7 452.74 316.95
1 68 7 547.78 526.84
1 1 8 581.82 529.1
1 2 8 565.29 382.62
1 3 8 522.87 326.94
1 4 8 487.94 428.24
1 27 8 374.61 460.06
1 28 8 374.61 460.06
1 30 8 459.03 513.39
1 36 8 393 530.6
1 37 8 457.69 487.71
1 38 8 465.14 474.86
1 39 8 561.89 543.7
1 40 8 581.49 547.34
1 41 8 512.98 429.85
1 50 8 542.6 423.15
1 51 8 556.51 397.26
1 52 8 558.01 504.33
1 53 8 437.3 427.98
1 59 8 340.64 462.89
1 60 8 488.6 336.84
1 62 8 581.49 547.34
1 63 8 559.65 468.02
1 68 8 553.58 522.83
1 9 9 420.24 438.03
1 18 9 317.03 563.26
1 35 9 437.52 415.82
1 45 9 394.83 465.85
1 46 9 362.05 511.62
1 47 9 324.76 570.8
1 48 9 425.13 493.86
1 49 9 357.06 379.5
1 55 9 327.76 422.87
1 61 9 562.5 337.36
1 63 9 556.53 468.46
1 64 9 461.19 430.39
1 66 9 522.22 544.46
1 68 9 540.55 527.53
1 19 10 376.06 507.11
1 31 10 525.52 543.04
1 39 10 571.33 547.49
1 40 10 566.98 516.17
1 42 10 583.63 574.19
1 46 10 395.95 476.23
1 47 10 333.22 574.4
1 53 10 428.33 443.6
1 54 10 519.73 437.21
1 56 10 413.72 336.13
1 58 10 538.86 421.44
1 63 10 552.61 467.73
1 66 10 556.2 514.16
1 29 11 338.68 462.53
1 41 11 498.94 418.09
1 57 11 411.14 388.54
1 61 11 569.25 344.71
1 64 11 496 417.54
1 67 11 521.94 469.15
1 10 12 420.55 557.08
1 11 12 418.66 353.32
1 12 12 334.87 428.26
1 13 12 334.98 449.64
1 20 12 386.22 506.96
1 21 12 345.59 599.4
1 39 12 567.91 582.45
1 44 12 439.19 450.71
1 48 12 417.18 498.48
1 55 12 324.42 435.47
1 56 12 387.48 319.05
1 57 12 417.38 387.66
1 58 12 526.96 409.06
1 5 13 598.01 560.93
1 6 13 598.01 569.71
1 17 13 445.59 322.74
1 41 13 510.23 373.4
1 44 13 433.97 413.12
1 51 13 584.19 461.4
1 62 13 588.5 558.82
1 14 14 371.89 447.35
1 15 14 378.25 385.47
1 16 14 320.84 306.66
1 22 14 381.08 419.56
1 23 14 357.28 367.33
1 24 14 525.26 357.89
1 32 14 433.36 356.06
1 33 14 386.49 428.7
1 36 14 418.52 524.16
1 45 14 365.65 448.22
1 48 14 443.53 536.95
1 56 14 397.1 321.85
1 59 14 376.21 462.39
1 63 14 545.61 456.26
1 64 14 485.22 415.53
1 65 14 403.16 321.96
