# Capture histories exported from 'OVpossumCH' 
# Sun Feb 03 4:05:25 p.m. 2019 
# Session ID Occasion Detector Sex Ageclass 
49 1418 1 5157 2 2
49 1531 1 5457 1 2
49 1215 3 5457 2 2
49 1716 1 5454 1 2
49 1215 2 5454 2 2
49 1567 3 5454 2 2
49 1494 4 5454 2 2
49 1567 5 5454 2 2
49 1567 2 5751 2 2
49 1531 3 5751 1 2
49 1531 4 5751 1 2
49 1215 5 5751 2 2
49 8427 1 5754 1 2
49 1531 2 5754 1 2
49 1716 3 5754 1 2
49 1567 4 5754 2 2
49 1531 5 5754 1 2
49 1599 1 6057 2 2
49 1497 2 6357 1 2
49 1635 1 6054 2 2
49 1337 2 6054 2 2
49 1642 1 6051 1 2
49 1269 1 6351 2 2
49 8077 2 6351 2 2
49 8552 1 6651 1 2
49 1309 1 6951 1 2
49 7712 3 6951 1 2
49 1091 1 7251 2 2
49 1373 2 7251 1 2
49 7712 1 7254 1 2
49 8458 2 7257 2 2
49 1091 2 6954 2 2
49 1269 4 6954 2 2
49 8552 2 6654 1 2
49 1503 2 6957 1 2
49 1661 3 7260 2 2
49 1593 1 7263 2 2
49 1606 5 7263 2 2
49 1306 1 6960 2 2
49 1590 1 6657 2 2
49 8574 1 6660 2 2
49 1590 3 6660 2 2
49 1603 5 6660 2 2
49 1055 1 6663 1 2
49 1603 1 6963 2 2
49 1055 2 6963 1 2
49 1593 4 6963 2 2
49 8574 5 6963 2 2
49 1638 1 7266 1 2
49 1248 2 7266 2 2
49 1606 4 7266 2 2
49 1579 1 7269 2 2
49 1606 3 7269 2 2
49 1620 1 6966 2 2
49 1517 2 6966 2 2
49 1441 4 6966 2 2
49 1082 1 6666 2 2
49 1593 2 6666 2 2
49 1532 3 6666 1 2
49 9911 1 6969 2 2
49 1626 2 6969 2 2
49 1312 3 6969 2 2
49 1620 4 6969 2 2
49 1606 1 7272 2 2
49 1579 3 7272 2 2
49 1136 4 7272 1 2
49 1323 1 6972 1 2
49 1606 2 6972 2 2
49 1323 3 6972 1 2
49 1459 5 6669 1 2
49 1596 1 6672 1 2
49 9911 2 6672 2 2
49 1175 4 6672 1 2
49 1596 5 6672 1 2
49 1175 2 6675 1 2
49 1669 5 6675 2 1
49 1663 3 6678 1 1
49 1324 4 6678 1 2
49 1649 3 6381 2 2
49 1649 2 6384 2 2
49 1685 3 6384 2 1
49 1461 1 6681 2 2
49 1324 2 6681 1 2
49 1311 4 6681 2 2
49 8681 5 6681 2 2
49 1564 1 6981 1 2
49 1197 2 6981 2 2
49 1319 3 6981 1 2
49 1461 4 6981 2 2
49 1645 1 7281 1 2
49 1609 2 7281 2 2
49 1211 4 7281 1 2
49 1197 1 7278 2 2
49 1670 2 7278 1 1
49 1428 4 7278 2 2
49 1197 5 7278 2 2
49 1319 1 6978 1 2
49 1197 3 6978 2 2
49 1197 4 6978 2 2
49 1461 5 6978 2 2
49 1136 1 7275 1 2
49 1252 2 7275 2 2
49 1136 3 7275 1 2
49 1311 1 6975 2 2
49 1579 2 6975 2 2
49 7717 1 5766 1 2
49 1414 2 5766 1 2
49 1614 3 5766 2 2
49 1414 4 5766 1 2
49 1365 5 5766 2 2
49 1528 2 5769 2 2
49 7717 3 5769 1 2
49 1414 5 5769 1 2
49 1479 1 5772 1 2
49 1481 2 5772 2 2
49 1479 3 5772 1 2
49 1479 4 5772 1 2
49 1218 1 5775 2 2
49 1479 2 5775 1 2
49 1266 3 5775 1 2
49 1449 4 5775 1 2
49 1449 5 5775 1 2
49 1296 1 5475 2 2
49 1548 2 5475 2 2
49 1625 3 5475 1 2
49 1483 4 5475 2 2
49 1479 5 5475 1 2
49 1357 3 5472 2 2
49 1473 1 5469 1 2
49 1341 4 5469 2 2
49 1621 2 5466 1 2
49 1614 5 5466 2 2
49 1222 1 5166 2 2
49 1222 2 5166 2 2
49 1303 3 5166 1 2
49 1266 4 5166 1 2
49 1634 1 5169 2 2
49 1634 2 5169 2 2
49 1634 3 5169 2 2
49 1634 4 5169 2 2
49 1634 5 5169 2 2
49 1413 1 5172 2 2
49 1397 2 5172 2 2
49 1552 3 5172 2 2
49 1096 4 5172 1 2
49 1387 5 5172 1 2
49 1637 2 5175 2 2
49 1621 3 5175 1 2
49 1523 1 4875 1 2
49 1574 2 4875 1 2
49 1672 3 4875 2 1
49 1553 4 4875 1 2
49 1525 1 4872 2 2
49 1674 3 4872 2 1
49 1552 5 4872 2 2
49 1476 1 4869 1 2
49 1405 3 4869 1 2
49 1476 4 4869 1 2
49 7453 5 4869 2 2
49 1429 1 4866 2 2
49 1222 3 4866 2 2
49 1222 4 4866 2 2
49 1222 5 4866 2 2
49 1341 1 4863 2 2
49 1341 5 4863 2 2
49 1361 1 4563 2 2
49 1360 2 4563 1 2
49 1546 3 4563 2 2
49 1303 4 4563 1 2
49 1360 5 4563 1 2
49 7453 2 4566 2 2
49 1360 1 4569 1 2
49 1096 2 4569 1 2
49 7453 3 4569 2 2
49 1429 4 4569 2 2
49 1552 2 4572 2 2
49 1616 3 4572 1 2
49 7453 4 4572 2 2
49 1096 5 4572 1 2
49 1640 2 4575 1 2
49 1553 3 4575 1 2
49 1651 4 4575 2 1
49 1640 5 4575 1 2
49 1553 2 4578 1 2
49 1525 5 4578 2 2
49 1383 1 4878 2 2
49 1525 3 4878 2 2
49 1574 4 4878 1 2
49 1553 5 4878 1 2
49 7726 1 5178 2 2
49 1652 2 5178 2 1
49 1621 4 5178 1 2
49 1305 5 5178 1 2
49 1483 2 5478 2 2
49 1296 3 5478 2 2
49 1573 4 5478 2 2
49 1218 5 5478 2 2
49 1443 1 6078 2 2
49 1611 2 6078 1 2
49 1682 5 6078 2 1
49 1654 2 6075 2 1
49 1540 3 6075 2 2
49 1481 4 6075 2 2
49 8541 5 6075 2 2
49 1233 1 6072 2 2
49 1643 2 6072 2 2
49 1082 3 6072 2 2
49 1540 5 6072 2 2
49 1318 1 6069 2 2
49 1614 2 6069 2 2
49 1170 3 6069 1 2
49 1082 5 6069 2 2
49 1414 1 6066 1 2
49 7717 2 6066 1 2
49 1414 3 6066 1 2
49 1538 4 6066 2 2
49 1470 5 6066 2 2
49 1470 1 6063 2 2
49 1365 2 5763 2 2
49 1365 3 5763 2 2
49 1365 4 5763 2 2
49 8553 1 5463 2 2
49 1372 1 5163 1 2
49 1656 3 5163 1 1
49 1205 4 5163 1 2
49 1206 5 5163 2 2
49 1264 1 4860 2 2
49 1372 2 4860 1 2
49 1278 2 4260 2 2
49 1496 1 4263 1 2
49 1589 2 4263 2 2
49 1230 3 4263 1 2
49 1676 4 4263 1 1
49 1496 5 4263 1 2
49 1172 2 4266 1 2
49 1671 3 4266 1 1
49 1583 4 4266 1 2
49 1172 5 4266 1 2
49 1589 4 4269 2 2
49 1287 5 4269 1 2
49 1616 1 4272 1 2
49 1484 4 4272 1 2
49 1260 1 4275 2 2
49 1156 3 4275 1 2
49 1468 4 4275 1 2
49 1616 5 4278 1 2
49 1651 1 4881 2 1
49 1383 3 4881 2 2
49 8916 4 4881 1 2
49 1208 5 4881 1 2
49 8405 1 4884 2 2
49 1409 2 4884 1 2
49 1675 3 4884 2 2
49 1469 5 4884 2 2
49 1296 2 5181 2 2
49 1548 4 5181 2 2
49 1633 2 5481 1 2
49 1218 4 5481 2 2
49 1548 5 5481 2 2
49 1284 1 5781 1 2
49 1477 2 6081 2 2
49 1249 4 6378 1 2
49 1506 1 6375 1 2
49 1425 2 6375 2 2
49 1311 5 6375 2 2
49 1439 1 6372 1 2
49 1596 2 6372 1 2
49 1175 3 6372 1 2
49 1082 2 6369 2 2
49 1538 3 6369 2 2
49 1082 4 6369 2 2
49 1538 1 6366 2 2
49 1679 4 6366 1 1
49 1538 5 6366 2 2
49 1653 1 6363 2 1
49 1538 2 6363 2 2
49 1593 3 6363 2 2
49 1470 4 6363 2 2
49 1055 5 6363 1 2
49 1653 3 6360 2 1
49 1603 4 6360 2 2
49 1621 1 6060 1 2
49 1497 3 6060 1 2
49 1599 4 6060 2 2
49 1648 2 5760 1 1
49 8553 5 5760 2 2
49 1206 1 5460 2 2
49 1656 2 5460 1 1
49 8553 3 5460 2 2
49 1618 4 5460 2 2
49 1648 5 5460 1 1
49 1419 2 5160 2 2
49 1206 4 5160 2 2
49 1533 1 4257 2 2
49 1655 2 4257 2 1
49 1489 3 4257 2 2
49 1283 4 4257 2 2
49 1595 1 4557 1 2
49 1283 3 4557 2 2
49 1278 5 4557 2 2
49 1126 1 4857 1 2
49 1126 3 4857 1 2
49 1301 4 4857 1 2
49 1126 5 5154 1 2
49 1330 2 5451 1 2
49 1657 2 5151 2 1
49 1471 3 5151 2 2
49 1471 1 4851 2 2
49 1530 2 4851 2 2
49 2095 3 4851 2 2
49 7724 1 4551 2 2
49 1584 2 4551 1 2
49 1660 3 4551 1 2
49 1533 4 4551 2 2
49 1498 2 4554 1 2
49 1264 3 4554 2 2
49 1152 4 4554 2 2
49 1471 5 4554 2 2
49 1494 1 4854 2 2
49 1264 2 4854 2 2
49 1418 3 4854 2 2
49 1584 5 4854 1 2
