"x" "y" "forest"
"12" 2674713.984375 5982395.390625 "nonbeech"
"13" 2674724.765625 5982395.390625 "nonbeech"
"16" 2674757.109375 5982395.390625 "nonbeech"
"17" 2674767.890625 5982395.390625 "nonbeech"
"18" 2674778.671875 5982395.390625 "nonbeech"
"19" 2674789.453125 5982395.390625 "nonbeech"
"20" 2674800.234375 5982395.390625 "nonbeech"
"21" 2674811.015625 5982395.390625 "nonbeech"
"22" 2674821.796875 5982395.390625 "nonbeech"
"23" 2674832.578125 5982395.390625 "beech"
"24" 2674843.359375 5982395.390625 "beech"
"25" 2674854.140625 5982395.390625 "beech"
"26" 2674864.921875 5982395.390625 "beech"
"27" 2674875.703125 5982395.390625 "beech"
"28" 2674886.484375 5982395.390625 "beech"
"29" 2674897.265625 5982395.390625 "beech"
"30" 2674908.046875 5982395.390625 "beech"
"31" 2674918.828125 5982395.390625 "beech"
"32" 2674929.609375 5982395.390625 "beech"
"33" 2674940.390625 5982395.390625 "beech"
"34" 2674951.171875 5982395.390625 "beech"
"35" 2674961.953125 5982395.390625 "beech"
"36" 2674972.734375 5982395.390625 "nonbeech"
"37" 2674983.515625 5982395.390625 "beech"
"38" 2674994.296875 5982395.390625 "beech"
"39" 2675005.078125 5982395.390625 "beech"
"40" 2675015.859375 5982395.390625 "beech"
"41" 2675026.640625 5982395.390625 "beech"
"42" 2675037.421875 5982395.390625 "beech"
"43" 2675048.203125 5982395.390625 "beech"
"44" 2675058.984375 5982395.390625 "beech"
"45" 2675069.765625 5982395.390625 "beech"
"46" 2675080.546875 5982395.390625 "beech"
"47" 2675091.328125 5982395.390625 "beech"
"48" 2675102.109375 5982395.390625 "beech"
"49" 2675112.890625 5982395.390625 "beech"
"50" 2675123.671875 5982395.390625 "nonbeech"
"51" 2675134.453125 5982395.390625 "nonbeech"
"52" 2675145.234375 5982395.390625 "beech"
"53" 2675156.015625 5982395.390625 "beech"
"54" 2675166.796875 5982395.390625 "beech"
"55" 2675177.578125 5982395.390625 "beech"
"56" 2675188.359375 5982395.390625 "beech"
"73" 2674681.640625 5982406.171875 "nonbeech"
"74" 2674692.421875 5982406.171875 "nonbeech"
"75" 2674703.203125 5982406.171875 "nonbeech"
"76" 2674713.984375 5982406.171875 "nonbeech"
"77" 2674724.765625 5982406.171875 "nonbeech"
"80" 2674757.109375 5982406.171875 "nonbeech"
"81" 2674767.890625 5982406.171875 "nonbeech"
"82" 2674778.671875 5982406.171875 "nonbeech"
"83" 2674789.453125 5982406.171875 "nonbeech"
"84" 2674800.234375 5982406.171875 "nonbeech"
"85" 2674811.015625 5982406.171875 "nonbeech"
"86" 2674821.796875 5982406.171875 "nonbeech"
"87" 2674832.578125 5982406.171875 "beech"
"88" 2674843.359375 5982406.171875 "beech"
"89" 2674854.140625 5982406.171875 "beech"
"90" 2674864.921875 5982406.171875 "beech"
"91" 2674875.703125 5982406.171875 "beech"
"92" 2674886.484375 5982406.171875 "beech"
"93" 2674897.265625 5982406.171875 "beech"
"94" 2674908.046875 5982406.171875 "beech"
"95" 2674918.828125 5982406.171875 "beech"
"96" 2674929.609375 5982406.171875 "beech"
"97" 2674940.390625 5982406.171875 "beech"
"98" 2674951.171875 5982406.171875 "beech"
"99" 2674961.953125 5982406.171875 "nonbeech"
"100" 2674972.734375 5982406.171875 "nonbeech"
"101" 2674983.515625 5982406.171875 "beech"
"102" 2674994.296875 5982406.171875 "beech"
"103" 2675005.078125 5982406.171875 "beech"
"104" 2675015.859375 5982406.171875 "beech"
"105" 2675026.640625 5982406.171875 "beech"
"106" 2675037.421875 5982406.171875 "beech"
"107" 2675048.203125 5982406.171875 "beech"
"108" 2675058.984375 5982406.171875 "beech"
"109" 2675069.765625 5982406.171875 "beech"
"110" 2675080.546875 5982406.171875 "beech"
"111" 2675091.328125 5982406.171875 "beech"
"112" 2675102.109375 5982406.171875 "beech"
"113" 2675112.890625 5982406.171875 "nonbeech"
"114" 2675123.671875 5982406.171875 "nonbeech"
"115" 2675134.453125 5982406.171875 "beech"
"116" 2675145.234375 5982406.171875 "beech"
"117" 2675156.015625 5982406.171875 "beech"
"118" 2675166.796875 5982406.171875 "beech"
"119" 2675177.578125 5982406.171875 "beech"
"120" 2675188.359375 5982406.171875 "beech"
"121" 2675199.140625 5982406.171875 "beech"
"122" 2675209.921875 5982406.171875 "beech"
"136" 2674670.859375 5982416.953125 "nonbeech"
"137" 2674681.640625 5982416.953125 "nonbeech"
"138" 2674692.421875 5982416.953125 "nonbeech"
"139" 2674703.203125 5982416.953125 "nonbeech"
"140" 2674713.984375 5982416.953125 "nonbeech"
"144" 2674757.109375 5982416.953125 "nonbeech"
"145" 2674767.890625 5982416.953125 "nonbeech"
"146" 2674778.671875 5982416.953125 "nonbeech"
"147" 2674789.453125 5982416.953125 "nonbeech"
"148" 2674800.234375 5982416.953125 "nonbeech"
"149" 2674811.015625 5982416.953125 "nonbeech"
"150" 2674821.796875 5982416.953125 "beech"
"151" 2674832.578125 5982416.953125 "beech"
"152" 2674843.359375 5982416.953125 "beech"
"153" 2674854.140625 5982416.953125 "beech"
"154" 2674864.921875 5982416.953125 "beech"
"155" 2674875.703125 5982416.953125 "beech"
"156" 2674886.484375 5982416.953125 "beech"
"157" 2674897.265625 5982416.953125 "beech"
"158" 2674908.046875 5982416.953125 "beech"
"159" 2674918.828125 5982416.953125 "beech"
"160" 2674929.609375 5982416.953125 "beech"
"161" 2674940.390625 5982416.953125 "beech"
"162" 2674951.171875 5982416.953125 "beech"
"163" 2674961.953125 5982416.953125 "nonbeech"
"164" 2674972.734375 5982416.953125 "nonbeech"
"165" 2674983.515625 5982416.953125 "beech"
"166" 2674994.296875 5982416.953125 "beech"
"167" 2675005.078125 5982416.953125 "beech"
"168" 2675015.859375 5982416.953125 "beech"
"169" 2675026.640625 5982416.953125 "beech"
"170" 2675037.421875 5982416.953125 "beech"
"171" 2675048.203125 5982416.953125 "beech"
"172" 2675058.984375 5982416.953125 "beech"
