# Capture histories exported from 'ch' 
# Sat Nov 09 2:44:37 p.m. 2019 
# Session ID Occasion Detector sample.c..F....M....size...76..p...c.0.5..0.5...replace...T. 
1 192 1 1 F
1 124 2 1 M
1 102 4 1 M
1 102 5 1 M
1 460 1 2 F
1 277 3 2 F
1 460 5 2 F
1 325 2 3 M
1 277 4 3 F
1 460 2 4 F
1 91 1 5 M
1 31 2 5 M
1 31 3 5 M
1 223 4 5 F
1 445 5 5 M
1 270 2 6 M
1 354 3 6 M
1 354 4 6 M
1 354 5 6 M
1 270 1 7 M
1 91 2 7 M
1 223 3 7 F
1 315 4 7 F
1 47 3 8 M
1 47 5 8 M
1 409 1 9 M
1 1 2 9 M
1 47 4 9 M
1 409 5 9 M
1 149 2 10 F
1 409 3 10 M
1 201 5 10 M
1 183 1 11 F
1 80 2 11 M
1 325 4 11 M
1 325 5 11 M
1 178 1 12 M
1 460 3 12 F
1 460 4 12 F
1 319 5 12 F
1 445 4 14 M
1 270 4 15 M
1 223 1 16 F
1 354 2 16 M
1 496 5 16 F
1 233 5 20 F
1 178 2 21 M
1 327 1 23 M
1 230 5 23 F
1 445 2 24 M
1 327 3 24 M
1 327 5 25 M
1 354 1 26 M
1 470 2 26 M
1 31 4 26 M
1 470 5 26 M
1 496 1 27 F
1 91 5 27 M
1 496 3 28 F
1 319 3 31 F
1 241 5 31 M
1 230 1 32 F
1 230 2 32 F
1 327 4 32 M
1 185 1 33 F
1 319 2 33 F
1 185 3 33 F
1 445 1 34 M
1 245 1 35 M
1 20 2 35 F
1 254 3 35 M
1 254 4 35 M
1 445 3 36 M
1 496 4 36 F
1 119 5 36 M
1 470 3 37 M
1 496 2 38 F
1 24 3 38 M
1 434 5 38 F
1 24 4 39 M
1 437 3 40 M
1 167 4 40 F
1 24 5 40 M
1 278 2 41 F
1 278 3 41 F
1 278 4 41 F
1 319 1 42 F
1 319 4 43 F
1 278 5 43 F
1 327 2 44 M
1 245 4 44 M
1 254 5 44 M
1 245 5 45 M
1 466 1 46 F
1 119 2 46 M
1 20 5 46 F
1 470 1 47 M
1 470 4 47 M
1 170 1 48 M
1 282 4 48 M
1 282 5 48 M
1 282 1 49 M
1 282 2 49 M
1 181 4 49 F
1 181 5 49 F
1 437 1 50 M
1 260 2 51 F
1 463 3 51 M
1 185 4 51 F
1 278 1 52 F
1 320 5 52 M
1 185 2 53 F
1 383 3 53 M
1 260 5 53 F
1 245 3 54 M
1 185 5 54 F
1 433 1 55 M
1 119 3 55 M
1 20 4 55 F
1 434 1 56 F
1 119 1 57 M
1 282 3 57 M
1 119 4 57 M
1 466 5 57 F
1 434 2 58 F
1 366 3 58 F
1 170 2 59 M
1 128 3 59 M
1 366 4 59 F
1 138 1 60 F
1 138 3 60 F
1 320 2 61 M
1 241 4 61 M
1 241 1 62 M
1 241 3 62 M
1 254 1 63 M
1 260 3 63 F
1 320 4 63 M
1 260 1 64 F
1 433 2 64 M
1 260 4 64 F
1 383 5 64 M
1 20 1 66 F
1 340 3 67 M
1 340 1 68 M
1 366 2 68 F
1 170 4 68 M
1 340 5 68 M
1 128 2 69 M
1 104 4 69 F
1 419 5 69 M
1 419 1 70 M
1 419 2 70 M
1 419 3 70 M
1 419 4 70 M
1 463 1 71 M
1 463 2 71 M
1 133 3 71 M
1 320 3 72 M
1 463 4 72 M
1 430 1 73 M
1 210 3 73 F
1 383 4 73 M
1 433 5 73 M
1 383 2 74 M
1 340 2 76 M
1 7 2 77 M
1 7 3 77 M
1 450 5 78 F
1 62 1 79 M
1 104 2 79 F
1 434 3 79 F
1 128 4 79 M
1 128 5 79 M
1 104 1 80 F
1 138 2 80 F
1 104 5 80 F
1 384 2 81 F
1 384 3 81 F
1 384 4 81 F
1 341 2 82 F
1 66 4 82 M
1 210 2 83 F
1 114 3 83 M
1 430 5 83 M
1 156 1 84 M
1 168 2 84 M
1 430 3 84 M
1 114 5 84 M
1 168 1 85 M
1 441 3 85 M
1 7 4 85 M
1 114 2 86 M
1 450 3 86 F
1 114 4 86 M
1 441 5 86 M
1 251 1 87 F
1 251 4 87 F
1 7 5 87 M
1 252 2 88 M
1 104 3 88 F
1 6 5 88 M
1 6 1 89 M
1 252 3 89 M
1 366 5 89 F
1 128 1 90 M
1 6 3 90 M
1 484 4 90 M
1 304 5 90 F
1 66 1 91 M
1 405 3 91 M
1 66 3 92 M
1 210 5 92 F
1 210 1 93 F
1 425 3 93 F
1 384 5 93 F
1 7 1 94 M
1 430 4 94 M
1 475 5 94 F
1 441 1 95 M
1 475 4 95 F
1 450 1 96 F
1 450 2 96 F
1 450 4 97 F
1 477 2 98 M
1 477 3 98 M
1 252 4 98 M
1 251 5 98 F
1 289 1 99 M
1 304 2 99 F
1 251 3 99 F
1 304 4 99 F
1 304 1 100 F
1 289 2 100 M
1 6 4 100 M
