# Detector locations exported from traps(captdata)
# Sun Nov 10 2:08:04 p.m. 2019 
# Detector  x  y / traptype 
1 365 365 / 2
2 365 395 / 1
3 365 425 / 1
4 365 455 / 1
5 365 485 / 1
6 365 515 / 2
7 365 545 / 1
8 365 575 / 1
9 365 605 / 1
10 365 635 / 1
11 395 365 / 1
12 395 395 / 2
13 395 425 / 2
14 395 455 / 2
15 395 485 / 1
16 395 515 / 2
17 395 545 / 2
18 395 575 / 1
19 395 605 / 1
20 395 635 / 1
21 425 365 / 1
22 425 395 / 2
23 425 425 / 1
24 425 455 / 1
25 425 485 / 2
26 425 515 / 2
27 425 545 / 2
28 425 575 / 1
29 425 605 / 2
30 425 635 / 1
31 455 365 / 1
32 455 395 / 1
33 455 425 / 2
34 455 455 / 1
35 455 485 / 2
36 455 515 / 2
37 455 545 / 2
38 455 575 / 1
39 455 605 / 2
40 455 635 / 1
41 485 365 / 2
42 485 395 / 2
43 485 425 / 2
44 485 455 / 2
45 485 485 / 2
46 485 515 / 1
47 485 545 / 1
48 485 575 / 2
49 485 605 / 2
50 485 635 / 2
51 515 365 / 2
52 515 395 / 2
53 515 425 / 2
54 515 455 / 2
55 515 485 / 2
56 515 515 / 2
57 515 545 / 1
58 515 575 / 2
59 515 605 / 2
60 515 635 / 2
61 545 365 / 2
62 545 395 / 2
63 545 425 / 2
64 545 455 / 1
65 545 485 / 1
66 545 515 / 2
67 545 545 / 2
68 545 575 / 2
69 545 605 / 2
70 545 635 / 2
71 575 365 / 2
72 575 395 / 2
73 575 425 / 2
74 575 455 / 1
75 575 485 / 2
76 575 515 / 1
77 575 545 / 2
78 575 575 / 2
79 575 605 / 2
80 575 635 / 2
81 605 365 / 1
82 605 395 / 2
83 605 425 / 2
84 605 455 / 1
85 605 485 / 1
86 605 515 / 2
87 605 545 / 1
88 605 575 / 2
89 605 605 / 2
90 605 635 / 2
91 635 365 / 2
92 635 395 / 2
93 635 425 / 2
94 635 455 / 2
95 635 485 / 2
96 635 515 / 1
97 635 545 / 2
98 635 575 / 2
99 635 605 / 2
100 635 635 / 2
